Date,Ålder_0_9,Ålder_10_19,Ålder_20_29,Ålder_30_39,Ålder_40_49,Ålder_50_59,Ålder_60_69,Ålder_70_79,Ålder_80_90,Ålder_90_plus,Uppgift saknas,Ålder_80_89,80+
2020-10-07,739.0,5090.0,16661.0,15246.0,15802.0,16703.0,9448.0,6410.0,0.0,3679.0,20.0,6879.0,10558.0
2020-10-08,747.0,5160.0,16872.0,15411.0,15961.0,16842.0,9506.0,6435.0,0.0,3687.0,21.0,6890.0,10577.0
2020-10-09,755.0,5248.0,17093.0,15585.0,16122.0,16983.0,9585.0,6459.0,0.0,3695.0,20.0,6906.0,10601.0
2020-10-13,769.0,5488.0,17652.0,15969.0,16502.0,17348.0,9729.0,6513.0,0.0,3707.0,25.0,6952.0,10659.0
2020-10-14,779.0,5557.0,17825.0,16082.0,16609.0,17466.0,9772.0,6542.0,0.0,3715.0,25.0,6960.0,10675.0
2020-10-15,784.0,5699.0,18080.0,16290.0,16781.0,17619.0,9858.0,6569.0,0.0,3725.0,25.0,6977.0,10702.0
2020-10-16,794.0,5775.0,18260.0,16428.0,16929.0,17743.0,9934.0,6595.0,0.0,3731.0,25.0,6986.0,10717.0
2020-10-20,832.0,6125.0,19026.0,17022.0,17446.0,18211.0,10192.0,6704.0,0.0,3746.0,25.0,7051.0,10797.0
2020-10-21,840.0,6227.0,19234.0,17198.0,17638.0,18370.0,10270.0,6727.0,0.0,3754.0,25.0,7072.0,10826.0
2020-10-22,858.0,6404.0,19583.0,17526.0,17921.0,18596.0,10391.0,6785.0,0.0,3771.0,24.0,7110.0,10881.0
2020-10-23,871.0,6614.0,19945.0,17856.0,18202.0,18835.0,10500.0,6822.0,0.0,3789.0,24.0,7136.0,10925.0
2020-10-27,914.0,7183.0,21116.0,18817.0,19123.0,19637.0,10924.0,6971.0,0.0,3849.0,24.0,7227.0,11076.0
2020-10-28,934.0,7406.0,21519.0,19183.0,19514.0,20005.0,11116.0,7053.0,0.0,3876.0,25.0,7282.0,11158.0
2020-10-29,953.0,7719.0,22243.0,19769.0,20121.0,20545.0,11394.0,7152.0,0.0,3913.0,25.0,7333.0,11246.0
2020-10-30,980.0,8015.0,22902.0,20334.0,20736.0,21106.0,11683.0,7255.0,0.0,3939.0,25.0,7380.0,11319.0
2020-11-03,1062.0,8979.0,25186.0,22270.0,22508.0,22801.0,12535.0,7563.0,0.0,4032.0,25.0,7571.0,11603.0
2020-11-04,1107.0,9338.0,25831.0,22778.0,23110.0,23325.0,12808.0,7682.0,0.0,4071.0,25.0,7655.0,11726.0
2020-11-05,1139.0,9734.0,26646.0,23499.0,23847.0,24025.0,13164.0,7811.0,0.0,4115.0,26.0,7758.0,11873.0
2020-11-06,1180.0,10317.0,27563.0,24389.0,24707.0,24741.0,13516.0,8002.0,0.0,4165.0,26.0,7855.0,12020.0
2020-11-10,1320.0,12272.0,30778.0,27235.0,27477.0,27290.0,14783.0,8579.0,0.0,4298.0,28.0,8180.0,12478.0
2020-11-11,1368.0,12770.0,31701.0,28004.0,28278.0,28030.0,15158.0,8747.0,0.0,4336.0,28.0,8287.0,12623.0
2020-11-12,1419.0,13251.0,32627.0,28916.0,29074.0,28806.0,15558.0,8893.0,0.0,4397.0,29.0,8395.0,12792.0
2020-11-13,1468.0,14080.0,33800.0,29882.0,30168.0,29799.0,16038.0,9073.0,0.0,4464.0,30.0,8553.0,13017.0
2020-11-17,1630.0,15880.0,36674.0,32538.0,32856.0,32315.0,17259.0,9660.0,0.0,4664.0,35.0,8928.0,13592.0
2020-11-18,1686.0,16337.0,37354.0,33176.0,33583.0,33004.0,17623.0,9860.0,0.0,4720.0,34.0,9069.0,13789.0
2020-11-19,1743.0,16877.0,38083.0,33923.0,34440.0,33885.0,17986.0,10072.0,0.0,4790.0,33.0,9223.0,14013.0
2020-11-20,1829.0,17773.0,39362.0,35169.0,35761.0,35137.0,18604.0,10322.0,0.0,4881.0,33.0,9424.0,14305.0
2020-11-24,2016.0,19781.0,42366.0,38326.0,39021.0,37993.0,19998.0,10978.0,0.0,5114.0,33.0,9934.0,15048.0
2020-11-25,2070.0,20294.0,43190.0,39197.0,40003.0,38811.0,20417.0,11186.0,0.0,5208.0,35.0,10103.0,15311.0
2020-11-26,2164.0,21001.0,44157.0,40175.0,41136.0,39827.0,20931.0,11395.0,0.0,5283.0,37.0,10249.0,15532.0
2020-11-27,2258.0,21882.0,45362.0,41395.0,42434.0,40901.0,21478.0,11638.0,0.0,5342.0,37.0,10402.0,15744.0
2020-12-01,2475.0,24023.0,48293.0,44540.0,45935.0,43817.0,22948.0,12298.0,0.0,5544.0,39.0,10846.0,16390.0
2020-12-02,2559.0,24670.0,49117.0,45489.0,47065.0,44757.0,23380.0,12470.0,0.0,5598.0,37.0,11016.0,16614.0
2020-12-03,2670.0,25442.0,50149.0,46632.0,48374.0,45784.0,23944.0,12720.0,0.0,5696.0,37.0,11195.0,16891.0
2020-12-04,2772.0,26341.0,51135.0,47723.0,49636.0,46776.0,24456.0,12920.0,0.0,5762.0,38.0,11353.0,17115.0
2020-12-08,3056.0,28839.0,54151.0,50914.0,53200.0,49940.0,26076.0,13625.0,0.0,6022.0,42.0,11867.0,17889.0
2020-12-09,3172.0,29665.0,55230.0,52131.0,54526.0,51163.0,26685.0,13908.0,0.0,6146.0,44.0,12123.0,18269.0
2020-12-10,3293.0,30669.0,56512.0,53525.0,56118.0,52451.0,27375.0,14166.0,0.0,6257.0,44.0,12318.0,18575.0
2020-12-11,3408.0,31637.0,57677.0,54768.0,57556.0,53753.0,27983.0,14397.0,0.0,6368.0,45.0,12506.0,18874.0
2020-12-15,3805.0,34513.0,60980.0,58479.0,61504.0,57033.0,29762.0,15188.0,0.0,6627.0,44.0,13094.0,19721.0
